Name	Description	IP Address	Mac Address	Type of Address	Wake on LAN	Wake Verified	OS	LabVIEW Ver.	Automatic Logon	Remote Shutdown	Shutdown Verified
my.firewall	.	192.168.10.1	00-08-da-53-05-68	dynamic	.	.	.	.	.	.	.
LOASIS-LB12	Laser Bay Picomotor Server	192.168.10.11	00-1e-2a-47-a6-98	dynamic	Enabled	always wakes	.	.	.	.	.
LOASIS-LB9	Test Stand	192.168.10.12	00-22-19-16-1e-4c	dynamic	Enabled	passed	VISTA	8.6	.	.	.
LOASIS-LB5	Masterclock	192.168.10.15	00-08-74-92-c1-89	dynamic	.	.	.	.	.	.	.
LOASIS-LB7	XPW computer	192.168.10.16	00-1e-4f-a6-e0-fc	dynamic	Enabled	passed	XP	2009	.	.	.
LOASIS-LB11	Godzilla/Chi Power Control	192.168.10.17	00-23-ae-81-fd-97	dynamic	Enabled	passed	XP	2009	.	Enabled	passed
LOASIS-LB8	Femtometer	192.168.10.18	00-25-b3-43-09-78	dynamic	Enabled	passed	XP	none	.	.	.
LOASIS-LB1	Salad	192.168.10.23	00-22-19-16-14-9f	dynamic	Enabled	passed	VISTA	2009	.	.	.
LOASIS-LC102	Beam Pointing Testing	192.168.10.31	00-23-ae-57-9d-20	dynamic	Enabled	passed	XP	2009	.	.	.
.	.	192.168.10.32	00-80-2f-0a-2e-93	dynamic	.	.	.	.	.	.	.
LOASIS-LC104	LCave	192.168.10.33	00-26-b9-8f-20-85	dynamic	Enabled	passed	7	2009	.	.	.
LOASIS-LC105	100TW Picomotor Control	192.168.10.34	e0-cb-4e-2f-10-98	dynamic	Enabled	passed	XP	2009	.	.	.
LOASIS-TC101	100TW 	192.168.10.60	00-13-20-6b-d0-34	dynamic	Enabled	always wakes	XP-TS	8.2	.	.	.
LOASIS-TC102		192.168.10.61	00-1a-a0-b3-9d-ac	dynamic	Enabled	passed	XP				
LOASIS-TC103	100TW Magspec	192.168.10.64	00-1e-4f-e9-59-c0	dynamic	Enabled	passed	XP-TS	8.2	.	.	.
LOASIS-TC104	HEXAPOD	192.168.10.63	00-1e-4f-9a-42-81	static	Enabled	passed	XP	.	.	Enabled	passed
LOASIS-TC105	.	192.168.10.65	00-22-19-18-ac-1f	dynamic	Enabled	passed	Vista	.	.	.	.
LOASIS-LC103	.	192.168.10.66	00-11-2f-e2-73-f1	dynamic	.	.	.	.	.	.	.
LOASIS-TC106		192.168.10.68	00-1e-4f-d0-e4-1c	dynamic	Enabled	passed	XP				
LOASIS-TC107	.	192.168.10.69	00-26-18-ce-22-da	dynamic	Enabled	passed	XP	.	.	.	.
LOASIS-TC108	.	192.168.10.71	00-26-b9-8f-22-4a	dynamic	Enabled	passed	7	.	.	.	.
LOASIS-CR5	.	192.168.10.72	00-24-e8-fb-fe-4f	dynamic	Enabled	passed	XP	2009	.	.	.
LOASIS-TC110	.	192.168.10.73	00-30-67-47-ef-1d	dynamic	Enabled	failed	Vista	.	.	.	.
LOASIS-TC1	.	192.168.10.90	00-80-2f-0a-07-f4	dynamic	.	.	.	.	.	.	.
LOASIS-TC2	10/100TW Flipper Controller	192.168.10.91	00-1e-4f-9b-d0-66	dynamic	Enabled	passed	XP	8.2	.	Enabled	.
LOASIS-TC3	10TW Blue Webcam	192.168.10.92	00-22-19-21-e9-5f	dynamic	Enabled	passed	VISTA	2009	.	.	.
LOASIS-TC6	B-cave 1-wire flipper controller	192.168.10.93	00-19-d1-e0-ed-45	dynamic	Enabled	passed	XP-TS	8.2	.	.	.
LOASIS-TC4	10TW Magspec/Spectrometer	192.168.10.94	00-24-e8-fb-f2-94	dynamic	Enabled	passed	XP	8.6	.	.	.
